UTM_X,UTM_Y,Cota
426262.28571428574,4580059.3877551025,0.0
426640.97959183675,4580059.3877551025,0.0
426640.97959183675,4580345.714285715,0.0
427019.67346938775,4580345.714285715,0.0
426640.97959183675,4580632.040816327,0.0
426262.28571428574,4579773.0612244895,-5.0
426640.97959183675,4579773.0612244895,-5.0
426262.28571428574,4580059.3877551025,-5.0
426640.97959183675,4580059.3877551025,-5.0
426640.97959183675,4580345.714285715,-5.0
427019.67346938775,4580345.714285715,-5.0
426640.97959183675,4580632.040816327,-5.0
413765.387755102,4569465.306122449,-10.0
414144.0816326531,4569465.306122449,-10.0
414144.0816326531,4569751.632653061,-10.0
414144.0816326531,4570037.959183673,-10.0
419824.48979591834,4574905.510204081,-10.0
419445.79591836734,4575191.8367346935,-10.0
419824.48979591834,4575191.8367346935,-10.0
420203.1836734694,4575191.8367346935,-10.0
419824.48979591834,4575478.1632653065,-10.0
420203.1836734694,4575478.1632653065,-10.0
419824.48979591834,4575764.489795919,-10.0
425126.20408163266,4578627.755102041,-10.0
425504.89795918367,4578627.755102041,-10.0
424747.51020408166,4578914.081632653,-10.0
425126.20408163266,4578914.081632653,-10.0
425504.89795918367,4578914.081632653,-10.0
425883.5918367347,4578914.081632653,-10.0
424368.8163265306,4579200.408163265,-10.0
424747.51020408166,4579200.408163265,-10.0
425126.20408163266,4579200.408163265,-10.0
425504.89795918367,4579200.408163265,-10.0
425883.5918367347,4579200.408163265,-10.0
423990.1224489796,4579486.734693877,-10.0
424747.51020408166,4579486.734693877,-10.0
425126.20408163266,4579486.734693877,-10.0
425504.89795918367,4579486.734693877,-10.0
425883.5918367347,4579486.734693877,-10.0
426262.28571428574,4579486.734693877,-10.0
426640.97959183675,4579486.734693877,-10.0
427019.67346938775,4579486.734693877,-10.0
425126.20408163266,4579773.0612244895,-10.0
425504.89795918367,4579773.0612244895,-10.0
425883.5918367347,4579773.0612244895,-10.0
426262.28571428574,4579773.0612244895,-10.0
426640.97959183675,4579773.0612244895,-10.0
427019.67346938775,4579773.0612244895,-10.0
426262.28571428574,4580059.3877551025,-10.0
426640.97959183675,4580059.3877551025,-10.0
427019.67346938775,4580059.3877551025,-10.0
420581.8775510204,4580345.714285715,-10.0
420960.5714285714,4580345.714285715,-10.0
426640.97959183675,4580345.714285715,-10.0
427019.67346938775,4580345.714285715,-10.0
420581.8775510204,4580632.040816327,-10.0
420960.5714285714,4580632.040816327,-10.0
426640.97959183675,4580632.040816327,-10.0
420581.8775510204,4580918.367346939,-10.0
420960.5714285714,4580918.367346939,-10.0
420581.8775510204,4581204.693877551,-10.0
420960.5714285714,4581204.693877551,-10.0
