UTM_X,UTM_Y,Cota
426262,4580059,0
426640,4580059,0
426640,4580345,0
427019,4580345,0
426640,4580632,0
426262,4579773,-5
426640,4579773,-5
426262,4580059,-5
426640,4580059,-5
426640,4580345,-5
427019,4580345,-5
426640,4580632,-5
413765,4569465,-10
414144,4569465,-10
414144,4569751,-10
414144,4570037,-10
419824,4574905,-10
419445,4575191,-10
419824,4575191,-10
420203,4575191,-10
419824,4575478,-10
420203,4575478,-10
419824,4575764,-10
425126,4578627,-10
425504,4578627,-10
424747,4578914,-10
425126,4578914,-10
425504,4578914,-10
425883,4578914,-10
424368,4579200,-10
424747,4579200,-10
425126,4579200,-10
425504,4579200,-10
425883,4579200,-10
423990,4579486,-10
424747,4579486,-10
425126,4579486,-10
425504,4579486,-10
425883,4579486,-10
426262,4579486,-10
426640,4579486,-10
427019,4579486,-10
425126,4579773,-10
425504,4579773,-10
425883,4579773,-10
426262,4579773,-10
426640,4579773,-10
427019,4579773,-10
426262,4580059,-10
426640,4580059,-10
427019,4580059,-10
420581,4580345,-10
420960,4580345,-10
426640,4580345,-10
427019,4580345,-10
420581,4580632,-10
420960,4580632,-10
426640,4580632,-10
420581,4580918,-10
420960,4580918,-10
420581,4581204,-10
420960,4581204,-10
413765,4569465,-15
414144,4569465,-15
414144,4569751,-15
414144,4570037,-15
416416,4572614,-15
416794,4572614,-15
416794,4572901,-15
419824,4574905,-15
419445,4575191,-15
419824,4575191,-15
420203,4575191,-15
419824,4575478,-15
420203,4575478,-15
419824,4575764,-15
425126,4578627,-15
425504,4578627,-15
424747,4578914,-15
425126,4578914,-15
425504,4578914,-15
425883,4578914,-15
424368,4579200,-15
424747,4579200,-15
425126,4579200,-15
425504,4579200,-15
425883,4579200,-15
423990,4579486,-15
424747,4579486,-15
425126,4579486,-15
425504,4579486,-15
425883,4579486,-15
426262,4579486,-15
426640,4579486,-15
427019,4579486,-15
425126,4579773,-15
425504,4579773,-15
425883,4579773,-15
426262,4579773,-15
426640,4579773,-15
427019,4579773,-15
426262,4580059,-15
426640,4580059,-15
427019,4580059,-15
420581,4580345,-15
420960,4580345,-15
426640,4580345,-15
427019,4580345,-15
420581,4580632,-15
420960,4580632,-15
426640,4580632,-15
420581,4580918,-15
420960,4580918,-15
420581,4581204,-15
420960,4581204,-15
413765,4569465,-20
414144,4569465,-20
414144,4569751,-20
414522,4569751,-20
414144,4570037,-20
416037,4571469,-20
415658,4571755,-20
416037,4571755,-20
416037,4572042,-20
416037,4572328,-20
416416,4572614,-20
416794,4572614,-20
416794,4572901,-20
416794,4573187,-20
419824,4574905,-20
419445,4575191,-20
419824,4575191,-20
420203,4575191,-20
419824,4575478,-20
420203,4575478,-20
419824,4575764,-20
420203,4575764,-20
423611,4578055,-20
423990,4578055,-20
423232,4578341,-20
423611,4578341,-20
423990,4578341,-20
422854,4578627,-20
423232,4578627,-20
423611,4578627,-20
423990,4578627,-20
425126,4578627,-20
425504,4578627,-20
423232,4578914,-20
423611,4578914,-20
423990,4578914,-20
424747,4578914,-20
425126,4578914,-20
425504,4578914,-20
425883,4578914,-20
423232,4579200,-20
423611,4579200,-20
423990,4579200,-20
424368,4579200,-20
424747,4579200,-20
425126,4579200,-20
425504,4579200,-20
425883,4579200,-20
423232,4579486,-20
423611,4579486,-20
423990,4579486,-20
424747,4579486,-20
425126,4579486,-20
425504,4579486,-20
425883,4579486,-20
426262,4579486,-20
426640,4579486,-20
427019,4579486,-20
425126,4579773,-20
425504,4579773,-20
425883,4579773,-20
426262,4579773,-20
426640,4579773,-20
427019,4579773,-20
420581,4580059,-20
426262,4580059,-20
426640,4580059,-20
427019,4580059,-20
420203,4580345,-20
420581,4580345,-20
420960,4580345,-20
426640,4580345,-20
427019,4580345,-20
420203,4580632,-20
420581,4580632,-20
420960,4580632,-20
426640,4580632,-20
420203,4580918,-20
420581,4580918,-20
420960,4580918,-20
420581,4581204,-20
420960,4581204,-20
413765,4569465,-25
414144,4569465,-25
414144,4569751,-25
414522,4569751,-25
414144,4570037,-25
416037,4571469,-25
415658,4571755,-25
416037,4571755,-25
416416,4571755,-25
416037,4572042,-25
416416,4572042,-25
416037,4572328,-25
416416,4572328,-25
416794,4572328,-25
416416,4572614,-25
416794,4572614,-25
416794,4572901,-25
416794,4573187,-25
418688,4574332,-25
418688,4574619,-25
419067,4574619,-25
419445,4574619,-25
419067,4574905,-25
419445,4574905,-25
419824,4574905,-25
419445,4575191,-25
419824,4575191,-25
420203,4575191,-25
419824,4575478,-25
420203,4575478,-25
419824,4575764,-25
420203,4575764,-25
420203,4576050,-25
420581,4576050,-25
420203,4576337,-25
420581,4576337,-25
420203,4576623,-25
420581,4576623,-25
420203,4576909,-25
420581,4576909,-25
420203,4577196,-25
420581,4577196,-25
423611,4578055,-25
423990,4578055,-25
423232,4578341,-25
423611,4578341,-25
423990,4578341,-25
422854,4578627,-25
423232,4578627,-25
423611,4578627,-25
423990,4578627,-25
425126,4578627,-25
425504,4578627,-25
423232,4578914,-25
423611,4578914,-25
423990,4578914,-25
424747,4578914,-25
425126,4578914,-25
425504,4578914,-25
425883,4578914,-25
418309,4579200,-25
418688,4579200,-25
419067,4579200,-25
423232,4579200,-25
423611,4579200,-25
423990,4579200,-25
424368,4579200,-25
424747,4579200,-25
425126,4579200,-25
425504,4579200,-25
