UTM_X,UTM_Y,Cota,Valor,Clase
419880.0,4580670.0,-21,S,
419880.0,4580670.0,-20,7,gravillas y gravas
419880.0,4580670.0,-19,7,gravillas y gravas
419880.0,4580670.0,-18,7,gravillas y gravas
419880.0,4580670.0,-17,7,gravillas y gravas
419880.0,4580670.0,-16,7,gravillas y gravas
419880.0,4580670.0,-15,7,gravillas y gravas
419880.0,4580670.0,-14,7,gravillas y gravas
419880.0,4580670.0,-13,7,gravillas y gravas
419880.0,4580670.0,-12,7,gravillas y gravas
419880.0,4580670.0,-11,7,gravillas y gravas
419880.0,4580670.0,-10,0.001,arcillas y limos
419880.0,4580670.0,-9,0.001,arcillas y limos
419880.0,4580670.0,-8,0.001,arcillas y limos
419880.0,4580670.0,-7,0.001,arcillas y limos
419880.0,4580670.0,-6,0.001,arcillas y limos
419880.0,4580670.0,-5,0.001,arcillas y limos
419880.0,4580670.0,-4,0.001,arcillas y limos
419880.0,4580670.0,-3,0.001,arcillas y limos
419880.0,4580670.0,-2,7,gravillas y gravas
419880.0,4580670.0,-1,7,gravillas y gravas
419880.0,4580670.0,0,7,gravillas y gravas
419880.0,4580670.0,1,7,gravillas y gravas
419880.0,4580670.0,2,0.0004,arcillas y limos
419880.0,4580670.0,3,0.0004,arcillas y limos
419880.0,4580670.0,4,0.0004,arcillas y limos
419880.0,4580670.0,5,0.0004,arcillas y limos
419880.0,4580670.0,6,0.0004,arcillas y limos
419880.0,4580670.0,7,0.0004,arcillas y limos
419480.0,4580740.0,-28,S,
419480.0,4580740.0,-27,30,gravillas y gravas
419480.0,4580740.0,-26,30,gravillas y gravas
419480.0,4580740.0,-25,30,gravillas y gravas
419480.0,4580740.0,-24,30,gravillas y gravas
419480.0,4580740.0,-23,30,gravillas y gravas
419480.0,4580740.0,-22,30,gravillas y gravas
419480.0,4580740.0,-21,30,gravillas y gravas
419480.0,4580740.0,-20,30,gravillas y gravas
419480.0,4580740.0,-19,30,gravillas y gravas
419480.0,4580740.0,-18,30,gravillas y gravas
419480.0,4580740.0,-17,30,gravillas y gravas
419480.0,4580740.0,-16,30,gravillas y gravas
419480.0,4580740.0,-15,30,gravillas y gravas
419480.0,4580740.0,-14,30,gravillas y gravas
419480.0,4580740.0,-13,30,gravillas y gravas
419480.0,4580740.0,-12,30,gravillas y gravas
419480.0,4580740.0,-11,30,gravillas y gravas
419480.0,4580740.0,-10,30,gravillas y gravas
419480.0,4580740.0,-9,30,gravillas y gravas
419480.0,4580740.0,-8,30,gravillas y gravas
419480.0,4580740.0,-7,30,gravillas y gravas
419480.0,4580740.0,-6,30,gravillas y gravas
419480.0,4580740.0,-5,30,gravillas y gravas
419480.0,4580740.0,-4,30,gravillas y gravas
419480.0,4580740.0,-3,30,gravillas y gravas
419480.0,4580740.0,-2,30,gravillas y gravas
419480.0,4580740.0,-1,30,gravillas y gravas
419480.0,4580740.0,0,30,gravillas y gravas
419480.0,4580740.0,1,30,gravillas y gravas
419480.0,4580740.0,2,30,gravillas y gravas
419480.0,4580740.0,3,30,gravillas y gravas
419480.0,4580740.0,4,30,gravillas y gravas
419480.0,4580740.0,5,30,gravillas y gravas
419480.0,4580740.0,6,30,gravillas y gravas
419570.0,4580410.0,-22,S,
419570.0,4580410.0,-21,7,gravillas y gravas
419570.0,4580410.0,-20,7,gravillas y gravas
419570.0,4580410.0,-19,7,gravillas y gravas
419570.0,4580410.0,-18,7,gravillas y gravas
419570.0,4580410.0,-17,7,gravillas y gravas
419570.0,4580410.0,-16,7,gravillas y gravas
419570.0,4580410.0,-15,7,gravillas y gravas
419570.0,4580410.0,-14,7,gravillas y gravas
419570.0,4580410.0,-13,7,gravillas y gravas
419570.0,4580410.0,-12,7,gravillas y gravas
419570.0,4580410.0,-11,7,gravillas y gravas
419570.0,4580410.0,-10,7,gravillas y gravas
419570.0,4580410.0,-9,7,gravillas y gravas
419570.0,4580410.0,-8,7,gravillas y gravas
419570.0,4580410.0,-7,7,gravillas y gravas
419570.0,4580410.0,-6,7,gravillas y gravas
419570.0,4580410.0,-5,7,gravillas y gravas
419570.0,4580410.0,-4,7,gravillas y gravas
419570.0,4580410.0,-3,7,gravillas y gravas
419570.0,4580410.0,-2,7,gravillas y gravas
419570.0,4580410.0,-1,7,gravillas y gravas
419570.0,4580410.0,0,7,gravillas y gravas
419570.0,4580410.0,1,7,gravillas y gravas
419570.0,4580410.0,2,7,gravillas y gravas
419570.0,4580410.0,3,7,gravillas y gravas
419570.0,4580410.0,4,7,gravillas y gravas
419570.0,4580410.0,5,7,gravillas y gravas
